,datetime,precipitation,temperature,irradiance_surface,irradiance_toa,snowfall,snow_mass,cloud_cover,air_density,demand
0,2014-01-01 00:00:00,0.0024,-1.693,0.0,0.0,0.0013,5.0829,0.5736,1.1372,21809.63
1,2014-01-01 01:00:00,0.0011,-1.912,0.0,0.0,0.0003,5.084,0.5857,1.1381,20711.5
2,2014-01-01 02:00:00,0.0014,-2.088,0.0,0.0,0.0002,5.0846,0.5982,1.139,19460.02
3,2014-01-01 03:00:00,0.0016,-2.245,0.0,0.0,0.0003,5.0854,0.5891,1.14,18654.16
4,2014-01-01 04:00:00,0.0016,-2.393,2.2857,6.9264,0.0005,5.0862,0.5619,1.141,18090.4
5,2014-01-01 05:00:00,0.0014,-1.801,57.0342,123.7109,0.0003,5.0869,0.525,1.1417,18120.82
6,2014-01-01 06:00:00,0.001,0.091,182.2356,329.8978,0.0001,5.0847,0.4347,1.1401,18089.29
7,2014-01-01 07:00:00,0.0006,2.292,314.9521,497.0798,0.0,5.0681,0.3416,1.1341,17462.98
8,2014-01-01 08:00:00,0.0003,4.527,412.0276,606.7,0.0,5.0133,0.2912,1.1258,18718.17
9,2014-01-01 09:00:00,0.0003,6.024,454.1679,651.3345,0.0,4.9188,0.2813,1.1194,20435.72
10,2014-01-01 10:00:00,0.0003,6.777,432.9727,627.8975,0.0,4.8162,0.2879,1.1155,21968.82
11,2014-01-01 11:00:00,0.0003,6.933,355.8502,537.9892,0.0,4.7346,0.3008,1.1137,23349.51
12,2014-01-01 12:00:00,0.0003,6.415,233.5247,387.7648,0.0,4.6959,0.3126,1.1137,23523.82
13,2014-01-01 13:00:00,0.0003,4.588,91.8479,188.3574,0.0,4.6884,0.3221,1.1156,24021.77
14,2014-01-01 14:00:00,0.0003,2.647,7.7706,24.2483,0.0,4.6881,0.3301,1.119,24204.69
15,2014-01-01 15:00:00,0.0005,1.75,0.0,0.0,0.0,4.6884,0.3263,1.1224,24549.01
16,2014-01-01 16:00:00,0.001,1.105,0.0,0.0,0.0,4.6888,0.3127,1.1253,25893.89
17,2014-01-01 17:00:00,0.0015,0.436,0.0,0.0,0.0,4.6893,0.3008,1.1276,26872.47
18,2014-01-01 18:00:00,0.0045,-0.208,0.0,0.0,0.0,4.6897,0.3,1.1296,26394.94
19,2014-01-01 19:00:00,0.0046,-0.747,0.0,0.0,0.0,4.6902,0.3185,1.1312,25834.43
20,2014-01-01 20:00:00,0.0039,-1.153,0.0,0.0,0.0,4.6907,0.344,1.1327,25328.08
21,2014-01-01 21:00:00,0.0033,-1.408,0.0,0.0,0.0,4.6911,0.3723,1.1338,24902.77
22,2014-01-01 22:00:00,0.0029,-1.596,0.0,0.0,0.0,4.6916,0.4016,1.1347,25369.93
23,2014-01-01 23:00:00,0.003,-1.763,0.0,0.0,0.0,4.692,0.4287,1.1355,24175.02
24,2014-01-02 00:00:00,0.0039,-1.911,0.0,0.0,0.0,4.6925,0.4567,1.1362,23276.31
25,2014-01-02 01:00:00,0.0052,-2.045,0.0,0.0,0.0,4.6929,0.4855,1.1368,21966.49
26,2014-01-02 02:00:00,0.0064,-2.167,0.0,0.0,0.0,4.6934,0.5019,1.1376,21120.88
27,2014-01-02 03:00:00,0.0068,-2.321,0.0,0.0,0.0,4.6938,0.5052,1.1385,20781.02
28,2014-01-02 04:00:00,0.0079,-2.474,2.5916,7.1255,0.0,4.6943,0.5038,1.1395,20647.77
29,2014-01-02 05:00:00,0.0103,-1.802,60.7814,124.9628,0.0,4.6947,0.5044,1.1402,21133.18
30,2014-01-02 06:00:00,0.0136,0.422,183.1497,331.4843,0.0,4.693,0.493,1.1391,22051.07
31,2014-01-02 07:00:00,0.0154,2.6,300.1323,498.7746,0.0,4.6812,0.4834,1.1334,23129.88
32,2014-01-02 08:00:00,0.0182,4.551,381.3998,608.4801,0.0,4.6449,0.4871,1.1262,27170.68
33,2014-01-02 09:00:00,0.0226,5.604,405.0426,653.145,0.0,4.5838,0.4996,1.1215,30257.34
34,2014-01-02 10:00:00,0.0289,6.083,377.395,629.6929,0.0,4.5141,0.5149,1.1186,31523.12
35,2014-01-02 11:00:00,0.0306,6.108,303.1566,539.7423,0.0,4.4598,0.5318,1.1172,31928.79
36,2014-01-02 12:00:00,0.0217,5.575,192.6406,389.4287,0.0,4.4348,0.547,1.1173,30461.37
37,2014-01-02 13:00:00,0.0189,3.834,71.5221,189.8451,0.0,4.4301,0.5496,1.1191,30842.49
38,2014-01-02 14:00:00,0.0179,1.926,5.4852,24.7538,0.0,4.4299,0.554,1.1221,31036.2
39,2014-01-02 15:00:00,0.0172,0.958,0.0,0.0,0.0,4.4301,0.5645,1.125,30857.39
40,2014-01-02 16:00:00,0.0191,0.328,0.0,0.0,0.0,4.4304,0.5787,1.1272,31838.71
41,2014-01-02 17:00:00,0.0221,-0.159,0.0,0.0,0.0,4.4307,0.5934,1.1292,31991.86
42,2014-01-02 18:00:00,0.0204,-0.545,0.0,0.0,0.0001,4.4312,0.6043,1.131,30681.57
43,2014-01-02 19:00:00,0.0212,-0.833,0.0,0.0,0.0001,4.4317,0.6152,1.1326,29571.75
44,2014-01-02 20:00:00,0.0239,-1.057,0.0,0.0,0.0002,4.4323,0.6165,1.1341,28789.61
45,2014-01-02 21:00:00,0.0272,-1.24,0.0,0.0,0.0002,4.433,0.6098,1.1352,27983.94
46,2014-01-02 22:00:00,0.0318,-1.415,0.0,0.0,0.0002,4.4337,0.598,1.1361,28253.0
47,2014-01-02 23:00:00,0.0379,-1.564,0.0,0.0,0.0008,4.4347,0.5993,1.1371,26729.61
48,2014-01-03 00:00:00,0.0406,-1.674,0.0,0.0,0.0018,4.4363,0.6042,1.1378,24688.02
49,2014-01-03 01:00:00,0.0462,-1.763,0.0,0.0,0.0089,4.442,0.6217,1.1384,23169.27
50,2014-01-03 02:00:00,0.0493,-1.834,0.0,0.0,0.0123,4.4527,0.6424,1.139,22177.63
51,2014-01-03 03:00:00,0.0551,-1.913,0.0,0.0,0.0117,4.4644,0.6556,1.1399,21737.9
52,2014-01-03 04:00:00,0.0596,-1.99,2.6714,7.3473,0.0188,4.4798,0.6685,1.141,21671.38
53,2014-01-03 05:00:00,0.0548,-1.303,52.7224,126.3346,0.0162,4.4967,0.6718,1.1416,22004.67
54,2014-01-03 06:00:00,0.0523,0.458,153.7899,333.2142,0.0102,4.5072,0.6497,1.1402,22908.53
55,2014-01-03 07:00:00,0.0531,2.314,254.9884,500.6187,0.006,4.5045,0.6149,1.135,23976.02
56,2014-01-03 08:00:00,0.0559,4.015,329.7175,610.409,0.0014,4.4792,0.5939,1.1285,27896.14
57,2014-01-03 09:00:00,0.0642,5.117,360.0988,655.1075,0.002,4.4313,0.5759,1.1236,30674.03
58,2014-01-03 10:00:00,0.0736,5.71,346.0354,631.6475,0.0019,4.3747,0.548,1.1204,31822.7
59,2014-01-03 11:00:00,0.0754,5.853,284.9523,541.6433,0.0036,4.3292,0.547,1.1187,31953.92
60,2014-01-03 12:00:00,0.0738,5.431,182.3932,391.2284,0.0025,4.3074,0.5665,1.1185,29565.84
61,2014-01-03 13:00:00,0.0683,3.896,68.2882,191.471,0.0027,4.3038,0.5852,1.1201,30617.88
62,2014-01-03 14:00:00,0.063,2.205,5.2137,25.3118,0.0113,4.311,0.6028,1.1227,30947.69
63,2014-01-03 15:00:00,0.0558,1.34,0.0,0.0,0.0085,4.3217,0.6166,1.1254,30741.47
64,2014-01-03 16:00:00,0.054,0.717,0.0,0.0,0.0099,4.332,0.6192,1.1276,31791.22
65,2014-01-03 17:00:00,0.0612,0.192,0.0,0.0,0.009,4.3426,0.6214,1.1295,32029.28
66,2014-01-03 18:00:00,0.0473,-0.214,0.0,0.0,0.014,4.3553,0.6242,1.1312,30745.75
67,2014-01-03 19:00:00,0.0544,-0.539,0.0,0.0,0.0157,4.3708,0.635,1.1327,29595.53
68,2014-01-03 20:00:00,0.0634,-0.797,0.0,0.0,0.0193,4.3894,0.6515,1.1341,28839.04
69,2014-01-03 21:00:00,0.0726,-0.982,0.0,0.0,0.022,4.4111,0.6645,1.1351,28033.65
70,2014-01-03 22:00:00,0.0766,-1.153,0.0,0.0,0.024,4.4356,0.6707,1.1359,28356.91
71,2014-01-03 23:00:00,0.0743,-1.305,0.0,0.0,0.0251,4.4617,0.6749,1.1368,27071.73
72,2014-01-04 00:00:00,0.0709,-1.441,0.0,0.0,0.0243,4.4878,0.6844,1.1377,25111.2
73,2014-01-04 01:00:00,0.0646,-1.574,0.0,0.0,0.02,4.5111,0.6945,1.1385,23526.04
74,2014-01-04 02:00:00,0.0571,-1.712,0.0,0.0,0.0175,4.5313,0.6966,1.1394,22462.52
75,2014-01-04 03:00:00,0.0601,-1.899,0.0,0.0,0.0202,4.5521,0.6918,1.1406,21803.85
76,2014-01-04 04:00:00,0.0549,-2.062,3.0244,7.5928,0.0166,4.5725,0.6832,1.142,21808.66
77,2014-01-04 05:00:00,0.0429,-1.46,56.1004,127.8279,0.0127,4.5889,0.6638,1.1429,22010.41
78,2014-01-04 06:00:00,0.027,0.316,166.8913,335.0867,0.0074,4.597,0.6301,1.1415,22270.86
79,2014-01-04 07:00:00,0.0169,2.277,283.7615,502.6191,0.0016,4.5869,0.5934,1.1359,22486.38
80,2014-01-04 08:00:00,0.0127,4.161,373.2719,612.4928,0.0003,4.5508,0.5716,1.1288,25501.64
81,2014-01-04 09:00:00,0.0081,5.358,407.6745,657.2181,0.0,4.4906,0.5683,1.1238,28221.37
82,2014-01-04 10:00:00,0.0076,5.977,388.5685,633.7583,0.0,4.4233,0.5597,1.1205,29576.05
83,2014-01-04 11:00:00,0.0055,6.104,319.3152,543.6907,0.0,4.3691,0.545,1.1189,30183.15
84,2014-01-04 12:00:00,0.0035,5.629,207.7242,393.179,0.0,4.3406,0.5253,1.1188,29079.96
85,2014-01-04 13:00:00,0.0017,3.973,83.256,193.2281,0.0,4.3319,0.4926,1.1206,29172.63
86,2014-01-04 14:00:00,0.0012,1.89,8.2345,25.9223,0.0,4.3307,0.4424,1.1238,28886.35
87,2014-01-04 15:00:00,0.0011,0.862,0.0,0.0,0.0,4.3308,0.3915,1.1269,28385.99
88,2014-01-04 16:00:00,0.001,0.263,0.0,0.0,0.0,4.3311,0.3493,1.1294,28961.16
89,2014-01-04 17:00:00,0.0011,-0.214,0.0,0.0,0.0,4.3314,0.3208,1.1315,29652.68
90,2014-01-04 18:00:00,0.0013,-0.614,0.0,0.0,0.0,4.3318,0.3079,1.1332,29075.43
91,2014-01-04 19:00:00,0.0006,-0.969,0.0,0.0,0.0,4.3321,0.3006,1.1347,28271.62
92,2014-01-04 20:00:00,0.0003,-1.292,0.0,0.0,0.0001,4.3325,0.2882,1.1361,27566.44
93,2014-01-04 21:00:00,0.0002,-1.597,0.0,0.0,0.0002,4.3329,0.2786,1.1372,26921.66
94,2014-01-04 22:00:00,0.001,-1.886,0.0,0.0,0.0006,4.3336,0.2749,1.1382,27371.85
95,2014-01-04 23:00:00,0.001,-2.164,0.0,0.0,0.0006,4.3346,0.2692,1.1394,26176.03
96,2014-01-05 00:00:00,0.001,-2.417,0.0,0.0,0.0006,4.3356,0.2668,1.1404,24205.72
97,2014-01-05 01:00:00,0.0003,-2.645,0.0,0.0,0.0003,4.3364,0.2632,1.1414,22611.87
